PT	AU	BA	BE	GP	AF	CA	TI	SO	SE	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	BP	EP	AR	DI	D2	PG	P2	WC	SC	GA	UT
J	Metz, B; Seidl-Seiboth, V; Haarmann, T; Kopchinskiy, A; Lorenz, P; Seiboth, B; Kubicek, CP				Metz, Benjamin; Seidl-Seiboth, Verena; Haarmann, Thomas; Kopchinskiy, Alexeij; Lorenz, Patrick; Seiboth, Bernhard; Kubicek, Christian P.		Expression of Biomass-Degrading Enzymes Is a Major Event during Conidium Development in Trichoderma reesei	EUKARYOTIC CELL																								1535-9778				NOV	2011	10	11				1527	1535		10.1128/EC.05014-11							WOS:000296723600017	
J	Santamaria, R; Rizzetto, L; Bromley, M; Zelante, T; Lee, W; Cavalieri, D; Romani, L; Miller, B; Gut, I; Santos, M; Pierre, P; Bowyer, P; Kapushesky, M				Santamaria, Rodrigo; Rizzetto, Lisa; Bromley, Michael; Zelante, Teresa; Lee, Wanseon; Cavalieri, Duccio; Romani, Luigina; Miller, Brian; Gut, Ivo; Santos, Manuel; Pierre, Philippe; Bowyer, Paul; Kapushesky, Misha		Systems biology of infectious diseases: a focus on fungal infections	IMMUNOBIOLOGY																								0171-2985				NOV	2011	216	11			SI	1212	1227		10.1016/j.imbio.2011.08.004							WOS:000296269700008	
J	de Souza, WR; de Gouvea, PF; Savoldi, M; Malavazi, I; Bernardes, LAD; Goldman, MHS; de Vries, RP; Oliveira, JVD; Goldman, GH				de Souza, Wagner R.; de Gouvea, Paula F.; Savoldi, Marcela; Malavazi, Iran; de Souza Bernardes, Luciano A.; Goldman, Maria Helena S.; de Vries, Ronald P.; de Castro Oliveira, Juliana V.; Goldman, Gustavo H.		Transcriptome analysis of Aspergillus niger grown on sugarcane bagasse	BIOTECHNOLOGY FOR BIOFUELS																								1754-6834				OCT 18	2011	4							40	10.1186/1754-6834-4-40							WOS:000297110100001	
J	Yu, L; Gao, L; Li, K; Zhao, Y; Chiu, DKY				Yu, Liang; Gao, Lin; Li, Kui; Zhao, Yi; Chiu, David K. Y.		A degree-distribution based hierarchical agglomerative clustering algorithm for protein complexes identification	COMPUTATIONAL BIOLOGY AND CHEMISTRY																								1476-9271				OCT 12	2011	35	5				298	307		10.1016/j.compbiolchem.2011.07.005							WOS:000296930400005	
J	Sun, JP; Glass, NL				Sun, Jianping; Glass, N. Louise		Identification of the CRE-1 Cellulolytic Regulon in Neurospora crassa	PLOS ONE																								1932-6203				SEP 29	2011	6	9						e25654	10.1371/journal.pone.0025654							WOS:000295939600046	
J	Wang, L; Berndt, P; Xia, XJ; Kahnt, J; Kahmann, R				Wang, Lei; Berndt, Patrick; Xia, Xiaojuan; Kahnt, Joerg; Kahmann, Regine		A seven-WD40 protein related to human RACK1 regulates mating and virulence in Ustilago maydis	MOLECULAR MICROBIOLOGY																								0950-382X				SEP	2011	81	6				1484	1498		10.1111/j.1365-2958.2011.07783.x							WOS:000295087000007	
J	Theis, FJ; Latif, N; Wong, P; Frishman, D				Theis, Fabian J.; Latif, Nadia; Wong, Philip; Frishman, Dmitrij		Complex Principal Component and Correlation Structure of 16 Yeast Genomic Variables	MOLECULAR BIOLOGY AND EVOLUTION																								0737-4038				SEP	2011	28	9				2501	2512		10.1093/molbev/msr077							WOS:000294552700012	
J	Lysoe, E; Seong, KY; Kistler, HC				Lysoe, Erik; Seong, Kye-Yong; Kistler, H. Corby		The Transcriptome of Fusarium graminearum During the Infection of Wheat	MOLECULAR PLANT-MICROBE INTERACTIONS																								0894-0282				SEP	2011	24	9				995	1000		10.1094/MPMI-02-11-0038							WOS:000293878600001	
J	Archambault, A; Stromvik, MV				Archambault, Annie; Stroemvik, Martina V.		PR-10, defensin and cold dehydrin genes are among those over expressed in Oxytropis (Fabaceae) species adapted to the arctic	FUNCTIONAL & INTEGRATIVE GENOMICS																								1438-793X				SEP	2011	11	3				497	505		10.1007/s10142-011-0223-6							WOS:000293971700010	
J	Zhou, GX; Wang, X; Yan, F; Wang, X; Li, R; Cheng, JA; Lou, YG				Zhou, Guoxin; Wang, Xia; Yan, Feng; Wang, Xia; Li, Ran; Cheng, Jiaan; Lou, Yonggen		Genome-wide transcriptional changes and defence-related chemical profiling of rice in response to infestation by the rice striped stem borer Chilo suppressalis	PHYSIOLOGIA PLANTARUM																								0031-9317				SEP	2011	143	1				21	40		10.1111/j.1399-3054.2011.01483.x							WOS:000293754500003	
J	Hintz, W; Pinchback, M; de la Bastide, P; Burgess, S; Jacobi, V; Hamelin, R; Breuil, C; Bernier, L				Hintz, William; Pinchback, Michael; de la Bastide, Paul; Burgess, Steven; Jacobi, Volker; Hamelin, Richard; Breuil, Colette; Bernier, Louis		Functional categorization of unique expressed sequence tags obtained from the yeast-like growth phase of the elm pathogen Ophiostoma novo-ulmi	BMC GENOMICS																								1471-2164				AUG 24	2011	12							431	10.1186/1471-2164-12-431							WOS:000295277500001	
J	Lee, SH; Kim, PJ; Jeong, H				Lee, Sang Hoon; Kim, Pan-Jun; Jeong, Hawoong		Global organization of protein complexome in the yeast Saccharomyces cerevisiae	BMC SYSTEMS BIOLOGY																								1752-0509				AUG 15	2011	5							126	10.1186/1752-0509-5-126							WOS:000294668800001	
J	Doyle, CE; Donaldson, ME; Morrison, EN; Saville, BJ				Doyle, Colleen E.; Donaldson, Michael E.; Morrison, Erin N.; Saville, Barry J.		Ustilago maydis transcript features identified through full-length cDNA analysis	MOLECULAR GENETICS AND GENOMICS																								1617-4615				AUG	2011	286	2				143	159		10.1007/s00438-011-0634-z							WOS:000297549100005	
J	Cangahuala-Inocente, GC; Da Silva, MF; Johnson, JM; Manga, A; van Tuinen, D; Henry, C; Lovato, PE; Dumas-Gaudot, E				Cangahuala-Inocente, Gabriela Claudia; Da Silva, Maguida Fabiana; Johnson, Jean-Martial; Manga, Anicet; van Tuinen, Diederik; Henry, Celine; Lovato, Paulo Emilio; Dumas-Gaudot, Eliane		Arbuscular mycorrhizal symbiosis elicits proteome responses opposite of P-starvation in SO4 grapevine rootstock upon root colonisation with two Glomus species	MYCORRHIZA																								0940-6360				AUG	2011	21	6				473	493		10.1007/s00572-010-0352-0							WOS:000294838700003	
J	Moghaddam, AMB; Roudier, F; Seifert, M; Berard, C; Magniette, MLM; Ashtiyani, RK; Houben, A; Colot, V; Mette, MF				Moghaddam, Ali M. Banaei; Roudier, Francois; Seifert, Michael; Berard, Caroline; Magniette, Marie-Laure M.; Ashtiyani, Raheleh Karimi; Houben, Andreas; Colot, Vincent; Mette, Michael F.		Additive inheritance of histone modifications in Arabidopsis thaliana intra-specific hybrids	PLANT JOURNAL																								0960-7412				AUG	2011	67	4				691	700		10.1111/j.1365-313X.2011.04628.x							WOS:000293753800010	
J	Natsume-Kitatani, Y; Shiga, M; Mamitsuka, H				Natsume-Kitatani, Yayoi; Shiga, Motoki; Mamitsuka, Hiroshi		Genome-Wide Integration on Transcription Factors, Histone Acetylation and Gene Expression Reveals Genes Co-Regulated by Histone Modification Patterns	PLOS ONE																								1932-6203				JUL 29	2011	6	7						e22281	10.1371/journal.pone.0022281							WOS:000293286500010	
J	Cho, JH; Wang, K; Galas, DJ				Cho, Ji-Hoon; Wang, Kai; Galas, David J.		An integrative approach to inferring biologically meaningful gene modules	BMC SYSTEMS BIOLOGY																								1752-0509				JUL 26	2011	5							117	10.1186/1752-0509-5-117							WOS:000293905800001	
J	Clark, WT; Radivojac, P				Clark, Wyatt T.; Radivojac, Predrag		Analysis of protein function and its prediction from amino acid sequence	PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS																								0887-3585				JUL	2011	79	7				2086	2096		10.1002/prot.23029							WOS:000292924500008	
J	Ambrosone, A; Costa, A; Martinelli, R; Massarelli, I; De Simone, V; Grillo, S; Leone, A				Ambrosone, Alfredo; Costa, Antonello; Martinelli, Rosanna; Massarelli, Immacolata; De Simone, Vincenzo; Grillo, Stefania; Leone, Antonella		Differential gene regulation in potato cells and plants upon abrupt or gradual exposure to water stress	ACTA PHYSIOLOGIAE PLANTARUM																								0137-5881				JUL	2011	33	4				1157	1171		10.1007/s11738-010-0644-1							WOS:000291600200012	
J	Leelavathi, S; Bhardwaj, A; Kumar, S; Dass, A; Pathak, R; Pandey, SS; Tripathy, BC; Padmalatha, KV; Dhandapani, G; Kanakachari, M; Kumar, PA; Cella, R; Reddy, V				Leelavathi, Sadhu; Bhardwaj, Amit; Kumar, Saravanan; Dass, Abhishek; Pathak, Ranjana; Pandey, Shiv S.; Tripathy, Baishnab C.; Padmalatha, K. V.; Dhandapani, Gurusamy; Kanakachari, Mogilicherla; Kumar, Polumetla Ananda; Cella, Rino; Siva Reddy, V.		Genome-wide transcriptome and proteome analyses of tobacco psaA and psbA deletion mutants	PLANT MOLECULAR BIOLOGY				1st International Symposium on Chloroplast Genomics Engineering	DEC 07-09, 2007	Changchun, PEOPLES R CHINA																		0167-4412				JUL	2011	76	3-5			SI	407	423		10.1007/s11103-011-9731-y							WOS:000291172200017	
J	Bidard, F; Benkhali, JA; Coppin, E; Imbeaud, S; Grognet, P; Delacroix, H; Debuchy, R				Bidard, Frederique; Benkhali, Jinane Ait; Coppin, Evelyne; Imbeaud, Sandrine; Grognet, Pierre; Delacroix, Herve; Debuchy, Robert		Genome-Wide Gene Expression Profiling of Fertilization Competent Mycelium in Opposite Mating Types in the Heterothallic Fungus Podospora anserina	PLOS ONE																								1932-6203				JUN 28	2011	6	6						e21476	10.1371/journal.pone.0021476							WOS:000292142800028	
J	Ibarra-Laclette, E; Albert, VA; Perez-Torres, CA; Zamudio-Hernandez, F; Ortega-Estrada, MD; Herrera-Estrella, A; Herrera-Estrella, L				Ibarra-Laclette, Enrique; Albert, Victor A.; Perez-Torres, Claudia A.; Zamudio-Hernandez, Flor; Ortega-Estrada, Maria de J.; Herrera-Estrella, Alfredo; Herrera-Estrella, Luis		Transcriptomics and molecular evolutionary rate analysis of the bladderwort (Utricularia), a carnivorous plant with a minimal genome	BMC PLANT BIOLOGY																								1471-2229				JUN 3	2011	11							101	10.1186/1471-2229-11-101							WOS:000293018800001	
J	Bosch, M; Mayer, CD; Cookson, A; Donnison, IS				Bosch, Maurice; Mayer, Claus-Dieter; Cookson, Alan; Donnison, Iain S.		Identification of genes involved in cell wall biogenesis in grasses by differential gene expression profiling of elongating and non-elongating maize internodes	JOURNAL OF EXPERIMENTAL BOTANY																								0022-0957				JUN	2011	62	10				3545	3561		10.1093/jxb/err045							WOS:000292557000023	
J	Albrecht, D; Kniemeyer, O; Mech, F; Gunzer, M; Brakhage, A; Guthke, R				Albrecht, Daniela; Kniemeyer, Olaf; Mech, Franziska; Gunzer, Matthias; Brakhage, Axel; Guthke, Reinhard		On the way toward systems biology of Aspergillus fumigatus infection	INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY																								1438-4221				JUN	2011	301	5			SI	453	459		10.1016/j.ijmm.2011.04.014							WOS:000292796900014	
J	Ndamukong, I; Lapko, H; Cerny, RL; Avramova, Z				Ndamukong, Ivan; Lapko, Hanna; Cerny, Ronald L.; Avramova, Zoya		A cytoplasm-specific activity encoded by the Trithorax-like ATX1 gene	NUCLEIC ACIDS RESEARCH																								0305-1048				JUN	2011	39	11				4709	4718		10.1093/nar/gkq1300							WOS:000291755000021	
J	Wang, QH; Sun, J; Zhou, M; Yang, HX; Li, Y; Li, X; Lv, SL; Li, X; Li, YX				Wang, Qianghu; Sun, Jie; Zhou, Meng; Yang, Haixiu; Li, Yan; Li, Xiang; Lv, Sali; Li, Xia; Li, Yixue		A novel network-based method for measuring the functional relationship between gene sets	BIOINFORMATICS																								1367-4803				JUN 1	2011	27	11				1521	1528		10.1093/bioinformatics/btr154							WOS:000291062400011	
J	Janska, A; Aprile, A; Zamecnik, J; Cattivelli, L; Ovesna, J				Janska, Anna; Aprile, Alessio; Zamecnik, Jiri; Cattivelli, Luigi; Ovesna, Jaroslava		Transcriptional responses of winter barley to cold indicate nucleosome remodelling as a specific feature of crown tissues	FUNCTIONAL & INTEGRATIVE GENOMICS																								1438-793X				JUN	2011	11	2				307	325		10.1007/s10142-011-0213-8							WOS:000290845000008	
J	Lu, FH; Yoon, MY; Cho, YI; Chung, JW; Kim, KT; Cho, MC; Cheong, SR; Park, YJ				Lu, Fu-Hao; Yoon, Min-Young; Cho, Young-Il; Chung, Jong-Wook; Kim, Ki-Taek; Cho, Myeong-Cheoul; Cheong, Seung-Ryong; Park, Yong-Jin		Transcriptome analysis and SNP/SSR marker information of red pepper variety YCM334 and Taean	SCIENTIA HORTICULTURAE																								0304-4238				MAY 25	2011	129	1				38	45		10.1016/j.scienta.2011.03.003							WOS:000291176300006	
J	Liu, ZY; Liu, QJ; Sun, HC; Hou, L; Guo, H; Zhu, YP; Li, D; He, FC				Liu, Zhongyang; Liu, Qijun; Sun, Hanchang; Hou, Lin; Guo, Hao; Zhu, Yunping; Li, Dong; He, Fuchu		Evidence for the additions of clustered interacting nodes during the evolution of protein interaction networks from network motifs	BMC EVOLUTIONARY BIOLOGY																								1471-2148				MAY 20	2011	11							133	10.1186/1471-2148-11-133							WOS:000292247600001	
J	Chung, Y; Maharjan, PM; Lee, O; Fujioka, S; Jang, S; Kim, B; Takatsuto, S; Tsujimoto, M; Kim, H; Cho, S; Park, T; Cho, H; Hwang, I; Choe, S				Chung, Yuhee; Maharjan, Puna M.; Lee, Oksun; Fujioka, Shozo; Jang, Suyoun; Kim, Bokyung; Takatsuto, Suguru; Tsujimoto, Masafumi; Kim, Hobang; Cho, Seoae; Park, Taesung; Cho, Hyunwoo; Hwang, Ildoo; Choe, Sunghwa		Auxin stimulates DWARF4 expression and brassinosteroid biosynthesis in Arabidopsis	PLANT JOURNAL																								0960-7412				MAY	2011	66	4				564	578		10.1111/j.1365-313X.2011.04513.x							WOS:000290456400002	
J	Yoshikawa, K; Tanaka, T; Ida, Y; Furusawa, C; Hirasawa, T; Shimizu, H				Yoshikawa, Katsunori; Tanaka, Tadamasa; Ida, Yoshihiro; Furusawa, Chikara; Hirasawa, Takashi; Shimizu, Hiroshi		Comprehensive phenotypic analysis of single-gene deletion and overexpression strains of Saccharomyces cerevisiae	YEAST																								0749-503X				MAY	2011	28	5				349	361		10.1002/yea.1843							WOS:000289953700002	
J	Valentini, G				Valentini, Giorgio		True Path Rule Hierarchical Ensembles for Genome-Wide Gene Function Prediction	IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS																								1545-5963				MAY-JUN	2011	8	3				832	847		10.1109/TCBB.2010.38							WOS:000288225000021	
J	Alboresi, A; Dall'Osto, L; Aprile, A; Carillo, P; Roncaglia, E; Cattivelli, L; Bassi, R				Alboresi, Alessandro; Dall'Osto, Luca; Aprile, Alessio; Carillo, Petronia; Roncaglia, Enrica; Cattivelli, Luigi; Bassi, Roberto		Reactive oxygen species and transcript analysis upon excess light treatment in wild-type Arabidopsis thaliana vs a photosensitive mutant lacking zeaxanthin and lutein	BMC PLANT BIOLOGY																								1471-2229				APR 11	2011	11							62	10.1186/1471-2229-11-62							WOS:000289975800001	
J	Culp, M				Culp, Mark		spa: Semi-Supervised Semi-Parametric Graph-Based Estimation in R	JOURNAL OF STATISTICAL SOFTWARE																								1548-7660				APR	2011	40	10				1	29									WOS:000289932800001	
J	Priebe, S; Linde, J; Albrecht, D; Guthke, R; Brakhage, AA				Priebe, Steffen; Linde, Joerg; Albrecht, Daniela; Guthke, Reinhard; Brakhage, Axel A.		FungiFun: A web-based application for functional categorization of fungal genes and proteins	FUNGAL GENETICS AND BIOLOGY																								1087-1845				APR	2011	48	4				353	358		10.1016/j.fgb.2010.11.001							WOS:000288590300002	
J	Sun, PG; Gao, L; Han, SS				Sun, Peng Gang; Gao, Lin; Han, Shan Shan		Identification of overlapping and non-overlapping community structure by fuzzy clustering in complex networks	INFORMATION SCIENCES																								0020-0255				MAR 15	2011	181	6				1060	1071		10.1016/j.ins.2010.11.022							WOS:000287063900002	
J	Yoo, SK; Hong, SM; Lee, JS; Ahn, JH				Yoo, Seung Kwan; Hong, Sung Myun; Lee, Jong Seob; Ahn, Ji Hoon		A genetic screen for leaf movement mutants identifies a potential role for AGAMOUS-LIKE 6 (AGL6) in circadian-clock control	MOLECULES AND CELLS																								1016-8478				MAR	2011	31	3				281	287		10.1007/s10059-011-0035-5							WOS:000288805400012	
J	Tian, CG; Li, JY; Glass, NL				Tian, Chaoguang; Li, Jingyi; Glass, N. Louise		Exploring the bZIP transcription factor regulatory network in Neurospora crassa	MICROBIOLOGY-SGM																								1350-0872				MAR	2011	157		Part 3			747	759		10.1099/mic.0.045468-0							WOS:000288833000014	
J	Michaut, M; Baryshnikova, A; Costanzo, M; Myers, CL; Andrews, BJ; Boone, C; Bader, GD				Michaut, Magali; Baryshnikova, Anastasia; Costanzo, Michael; Myers, Chad L.; Andrews, Brenda J.; Boone, Charles; Bader, Gary D.		Protein Complexes are Central in the Yeast Genetic Landscape	PLOS COMPUTATIONAL BIOLOGY																								1553-734X				FEB	2011	7	2						e1001092	10.1371/journal.pcbi.1001092							WOS:000287698700027	
J	Dave, A; Hernandez, ML; He, ZS; Andriotis, VME; Vaistij, FE; Larson, TR; Graham, IA				Dave, Anuja; Hernandez, M. Luisa; He, Zhesi; Andriotis, Vasilios M. E.; Vaistij, Fabian E.; Larson, Tony R.; Graham, Ian A.		12-Oxo-Phytodienoic Acid Accumulation during Seed Development Represses Seed Germination in Arabidopsis	PLANT CELL																								1040-4651				FEB	2011	23	2				583	599		10.1105/tpc.110.081489							WOS:000288801000013	
J	Legay, G; Marouf, E; Berger, D; Neuhaus, JM; Mauch-Mani, B; Slaughter, A				Legay, Guillaume; Marouf, Elaheh; Berger, Dave; Neuhaus, Jean-Marc; Mauch-Mani, Brigitte; Slaughter, Ana		Identification of genes expressed during the compatible interaction of grapevine with Plasmopara viticola through suppression subtractive hybridization (SSH)	EUROPEAN JOURNAL OF PLANT PATHOLOGY				International Congress for Plant Pathology 2008 (ICPP)	2008	Turino, ITALY																		0929-1873				FEB	2011	129	2				281	301		10.1007/s10658-010-9676-z							WOS:000286942600011	
J	Wang, Y; Meng, YL; Zhang, M; Tong, XM; Wang, QH; Sun, YY; Quan, JL; Govers, F; Shan, WX				Wang, Yan; Meng, Yuling; Zhang, Meng; Tong, Xinmeng; Wang, Qinhu; Sun, Yinyin; Quan, Junli; Govers, Francine; Shan, Weixing		Infection of Arabidopsis thaliana by Phytophthora parasitica and identification of variation in host specificity	MOLECULAR PLANT PATHOLOGY																								1464-6722				FEB	2011	12	2				187	201		10.1111/j.1364-3703.2010.00659.x							WOS:000285880800007	
J	Hu, LL; Huang, T; Shi, XH; Lu, WC; Cai, YD; Chou, KC				Hu, Lele; Huang, Tao; Shi, Xiaohe; Lu, Wen-Cong; Cai, Yu-Dong; Chou, Kuo-Chen		Predicting Functions of Proteins in Mouse Based on Weighted Protein-Protein Interaction Network and Protein Hybrid Properties	PLOS ONE																								1932-6203				JAN 19	2011	6	1						e14556	10.1371/journal.pone.0014556							WOS:000286520600003	
J	Morton, CO; Varga, JJ; Hornbach, A; Mezger, M; Sennefelder, H; Kneitz, S; Kurzai, O; Krappmann, S; Einsele, H; Nierman, WC; Rogers, TR; Loeffler, J				Morton, Charles O.; Varga, John J.; Hornbach, Anke; Mezger, Markus; Sennefelder, Helga; Kneitz, Susanne; Kurzai, Oliver; Krappmann, Sven; Einsele, Hermann; Nierman, William C.; Rogers, Thomas R.; Loeffler, Juergen		The Temporal Dynamics of Differential Gene Expression in Aspergillus fumigatus Interacting with Human Immature Dendritic Cells In Vitro	PLOS ONE																								1932-6203				JAN 14	2011	6	1						e16016	10.1371/journal.pone.0016016							WOS:000286516500022	
S	Young, CL; Yuraszeck, T; Robinson, AS		Conn, PM		Young, Carissa L.; Yuraszeck, Theresa; Robinson, Anne S.		DECREASED SECRETION AND UNFOLDED PROTEIN RESPONSE UPREGULATION	METHODS IN ENZYMOLOGY, VOL 491: UNFOLDED PROTEIN RESPONSE AND CELLULAR STRESS, PT C	Methods in Enzymology																							0076-6879	978-0-12-385928-0				2011	491					235	260		10.1016/B978-0-12-385928-0.00014-6							WOS:000288293700014	
J	Yang, GL; Chen, XS; Tang, TA; Zhou, RC; Chen, SF; Li, WJ; Ouyang, JH; He, LA; Shi, SH				Yang, Guili; Chen, Xiaoshu; Tang, Tian; Zhou, Renchao; Chen, Sufang; Li, Weijing; Ouyang, Jianhua; He, Lian; Shi, Shuhua		Comparative genomics of two ecologically differential populations of Hibiscus tiliaceus under salt stress	FUNCTIONAL PLANT BIOLOGY																								1445-4408					2011	38	3				199	208		10.1071/FP10228							WOS:000288863600004	
J	Wong, P; Walter, M; Lee, W; Mannhaupt, G; Munsterkotter, M; Mewes, HW; Adam, G; Guldener, U				Wong, Philip; Walter, Mathias; Lee, Wanseon; Mannhaupt, Gertrud; Muensterkoetter, Martin; Mewes, Hans-Werner; Adam, Gerhard; Gueldener, Ulrich		FGDB: revisiting the genome annotation of the plant pathogen Fusarium graminearum	NUCLEIC ACIDS RESEARCH																								0305-1048				JAN	2011	39			1		D637	D639		10.1093/nar/gkq1016							WOS:000285831700101	
J	Wang, TY; He, F; Hu, QW; Zhang, ZD				Wang, Ting-You; He, Fei; Hu, Qi-Wen; Zhang, Ziding		A predicted protein-protein interaction network of the filamentous fungus Neurospora crassa	MOLECULAR BIOSYSTEMS																								1742-206X					2011	7	7				2278	2285		10.1039/c1mb05028a							WOS:000291559900020	
J	Moe, KT; Chung, JW; Cho, YI; Moon, JK; Ku, JH; Jung, JK; Lee, J; Park, YJ				Moe, Kyaw Thu; Chung, Jong-Wook; Cho, Young-Il; Moon, Jung-Kyung; Ku, Ja-Hwan; Jung, Jin-Kyo; Lee, Jungran; Park, Yong-Jin		Sequence Information on Simple Sequence Repeats and Single Nucleotide Polymorphisms through Transcriptome Analysis of Mungbean	JOURNAL OF INTEGRATIVE PLANT BIOLOGY																								1672-9072				JAN	2011	53	1				63	73		10.1111/j.1744-7909.2010.01012.x							WOS:000285923700008	
J	Cuff, AL; Sillitoe, I; Lewis, T; Clegg, AB; Rentzsch, R; Furnham, N; Pellegrini-Calace, M; Jones, D; Thornton, J; Orengo, CA				Cuff, Alison L.; Sillitoe, Ian; Lewis, Tony; Clegg, Andrew B.; Rentzsch, Robert; Furnham, Nicholas; Pellegrini-Calace, Marialuisa; Jones, David; Thornton, Janet; Orengo, Christine A.		Extending CATH: increasing coverage of the protein structure universe and linking structure with function	NUCLEIC ACIDS RESEARCH																								0305-1048				JAN	2011	39			1		D420	D426		10.1093/nar/gkq1001							WOS:000285831700068	
